date,email,call
2012-05-29,81.0,166
2012-05-30,73.0,195
2012-05-31,61.0,170
2012-06-01,60.0,135
2012-06-02,29.0,1
2012-06-03,24.0,1
2012-06-04,109.0,147
2012-06-05,127.0,341
2012-06-06,91.0,298
2012-06-07,88.0,228
2012-06-08,60.0,144
2012-06-09,44.0,1
2012-06-10,38.0,1
2012-06-11,62.0,188
2012-06-12,71.0,228
2012-06-13,65.0,228
2012-06-14,217.0,184
2012-06-15,54.0,135
2012-06-16,34.0,1
2012-06-17,27.0,2
2012-06-18,66.0,177
2012-06-19,46.0,164
2012-06-20,66.0,202
2012-06-21,46.0,175
2012-06-22,41.0,148
2012-06-23,24.0,1
2012-06-24,26.0,2
2012-06-25,76.0,223
2012-06-26,65.0,198
2012-06-27,84.0,200
2012-06-28,60.0,190
2012-06-29,96.0,127
2012-06-30,38.0,7
2012-07-01,42.0,0
2012-07-02,44.0,218
2012-07-03,35.0,144
2012-07-04,28.0,3
2012-07-05,42.0,128
2012-07-06,31.0,140
2012-07-07,28.0,0
2012-07-08,32.0,2
2012-07-09,54.0,259
2012-07-10,91.0,277
2012-07-11,108.0,268
2012-07-12,83.0,289
2012-07-13,58.0,179
2012-07-14,44.0,1
2012-07-15,43.0,2
2012-07-16,81.0,256
2012-07-17,76.0,232
2012-07-18,83.0,242
2012-07-19,86.0,280
2012-07-20,71.0,187
2012-07-21,45.0,4
2012-07-22,35.0,2
2012-07-23,121.0,320
2012-07-24,99.0,351
2012-07-25,123.0,320
2012-07-26,81.0,359
2012-07-27,72.0,236
2012-07-28,51.0,2
2012-07-29,55.0,3
2012-07-30,82.0,421
2012-07-31,93.0,356
2012-08-01,105.0,436
2012-08-02,121.0,449
2012-08-03,97.0,382
2012-08-04,74.0,16
2012-08-05,80.0,17
2012-08-06,116.0,474
2012-08-07,142.0,516
2012-08-08,164.0,559
2012-08-09,197.0,554
2012-08-10,165.0,524
2012-08-11,217.0,65
2012-08-12,217.0,47
2012-08-13,312.0,566
2012-08-14,284.0,624
2012-08-15,230.0,561
2012-08-16,253.0,501
2012-08-17,304.0,665
2012-08-18,372.0,737
2012-08-19,422.0,351
2012-08-20,420.0,638
2012-08-21,388.0,609
2012-08-22,425.0,643
2012-08-23,319.0,661
2012-08-24,292.0,749
2012-08-25,536.0,1069
2012-08-26,485.0,575
2012-08-27,558.0,753
2012-08-28,384.0,638
2012-08-29,403.0,584
2012-08-30,318.0,588
2012-08-31,350.0,707
2012-09-01,520.0,842
2012-09-02,409.0,524
2012-09-03,391.0,502
2012-09-04,426.0,622
2012-09-05,366.0,587
2012-09-06,328.0,477
2012-09-07,289.0,540
2012-09-08,418.0,805
2012-09-09,434.0,484
2012-09-10,461.0,639
2012-09-11,393.0,576
2012-09-12,274.0,504
2012-09-13,256.0,489
2012-09-14,282.0,549
2012-09-15,317.0,662
2012-09-16,321.0,366
2012-09-17,387.0,634
2012-09-18,346.0,453
2012-09-19,274.0,409
2012-09-20,249.0,387
2012-09-21,223.0,442
2012-09-22,243.0,560
2012-09-23,305.0,287
2012-09-24,310.0,512
2012-09-25,231.0,397
2012-09-26,225.0,400
2012-09-27,188.0,384
2012-09-28,199.0,421
2012-09-29,243.0,502
2012-09-30,277.0,242
2012-10-01,322.0,443
2012-10-02,220.0,368
2012-10-03,216.0,360
2012-10-04,209.0,338
2012-10-05,176.0,431
2012-10-06,234.0,460
2012-10-07,253.0,219
2012-10-08,257.0,460
2012-10-09,215.0,346
2012-10-10,186.0,351
2012-10-11,162.0,298
2012-10-12,175.0,441
2012-10-13,191.0,381
2012-10-14,223.0,201
2012-10-15,279.0,389
2012-10-16,218.0,304
2012-10-17,195.0,251
2012-10-18,156.0,289
2012-10-19,176.0,326
2012-10-20,185.0,318
2012-10-21,193.0,167
2012-10-22,1011.0,536
2012-10-23,233.0,294
2012-10-24,207.0,310
2012-10-25,148.0,304
2012-10-26,134.0,277
2012-10-27,124.0,318
2012-10-28,158.0,194
2012-10-29,195.0,389
2012-10-30,174.0,285
2012-10-31,143.0,272
2012-11-01,177.0,312
2012-11-02,180.0,311
2012-11-03,137.0,234
2012-11-04,161.0,128
2012-11-05,215.0,362
2012-11-06,168.0,300
2012-11-07,176.0,317
2012-11-08,148.0,295
2012-11-09,155.0,279
2012-11-10,106.0,155
2012-11-11,146.0,126
2012-11-12,233.0,350
2012-11-13,223.0,382
2012-11-14,226.0,379
2012-11-15,184.0,310
2012-11-16,162.0,326
2012-11-17,129.0,182
2012-11-18,141.0,131
2012-11-19,222.0,440
2012-11-20,235.0,373
2012-11-21,154.0,279
2012-11-22,72.0,0
2012-11-23,100.0,8
2012-11-24,131.0,167
2012-11-25,149.0,92
2012-11-26,302.0,456
2012-11-27,310.0,453
2012-11-28,294.0,472
2012-11-29,257.0,480
2012-11-30,235.0,422
2012-12-01,142.0,143
2012-12-02,158.0,152
2012-12-03,326.0,517
2012-12-04,284.0,426
2012-12-05,345.0,487
2012-12-06,263.0,449
2012-12-07,167.0,337
2012-12-08,124.0,132
2012-12-09,149.0,92
2012-12-10,210.0,418
2012-12-11,255.0,394
